,restaurant number,name,rating,cuisine,price,location
32,33,43. Penang Seafood Restaurant,3.9 ,"Malaysian, Seafood",$,Geylang
33,34,44. Club55,4.3 ,Buffets,$$,Bayfront
34,35,45. Wolf Burgers,4.3 ,Burgers,$$,City Hall
35,36,46. Herbivore,4.3 ,"Vegetarian, Japanese",$$,Bencoolen
36,37,47. Jumbo Seafood,3.8 ,"Seafood, Singaporean",$$,Raffles Place
37,38,48. Khansama Tandoori,4.2 ,Indian,$$,Little India
38,39,49. Empress,4.4 ,"Chinese, Asian Fusion, Singaporean",$$,City Hall
39,40,50. House of Peranakan Petit,4.4 ,Malaysian,$$,Tiong Bahru
40,41,51. Fragrant Garden,4.8 ,Teochew,Not available,
41,42,52. Satay By The Bay,3.8 ,"Seafood, Barbeque",$,Bayfront
42,43,53. Tai Hwa Pork Noodle,4.1 ,"Chinese, Noodles",$,Lavender
43,44,54. Shabestan,4.4 ,Persian/Iranian,$$$,Robertson Quay
44,45,55. Liao Fan Hawker Chan,3.9 ,"Noodles, Chicken Shop",$,Chinatown
45,46,56. The Quarters,5.0 ,"Cafes, Asian Fusion, Desserts",$$,Tanjong Pagar
46,47,57. Five Star Hainanese Chicken Rice,4.3 ,"Chicken Shop, Hainan",$$,Katong
47,48,58. Ya Hua Bak Kut Teh,4.3 ,Chinese,$$,Tiong Bahru
48,49,59. Sawasdee,4.1 ,Thai,$$,Chinatown
49,50,60. Jai’s Thai-Vientiane Cuisine,5.0 ,Thai,$,Ubi
50,51,61. Song Fa Bak Kut Teh,4.6 ,"Soup, Chinese",$,Orchard
51,52,62. Beach Road Kitchen,4.7 ,"Breakfast & Brunch, Chinese, Buffets",$$,City Hall
52,53,63. iO Italian Osteria,4.4 ,Italian,$$$,Bukit Batok
53,54,64. Il Fiore,4.0 ,Italian,$$,Raffles Place
54,55,65. Blue Lotus Chinese Eating House,4.2 ,Chinese,$$$,Sentosa
55,56,66. The Malayan Council,4.9 ,Cafes,$$,Little India
56,57,67. Hainanese Delicacy Chicken Rice,4.4 ,"Chicken Shop, Hainan",$,Orchard
57,58,68. Da Lian Traditional Noodles,3.9 ,"Noodles, Teochew",$,Lavender
58,59,69. E-Sarn Thai Cuisine,4.5 ,Thai,$$,Thomson
59,60,70. ShuKuu Izakaya,4.2 ,Izakaya,$$,Tanjong Pagar
60,61,71. Mrs Pho,3.8 ,Vietnamese,$,Arab Street
61,62,72. Hung Kang Teochew Restaurant,4.7 ,Teochew,$$,Clarke Quay
62,63,73. Jai Thai,3.8 ,Thai,$,Bishan
63,64,74. Keng Eng Kee Seafood,3.9 ,Seafood,$$,Alexandra
64,65,75. Chabuton,4.8 ,Ramen,$$,City Hall
65,66,76. Brazil Churrasco,4.4 ,Brazilian,$$,Sixth Avenue
66,67,77. Sushi Jin,4.1 ,Japanese,$$$,Little India
67,68,78. The Naked Finn,4.3 ,Seafood,$$$,Alexandra
68,69,79. Aromas Of India,4.8 ,Indian,$$,Farrer Park
69,70,80. Once Upon A Thyme,4.4 ,"Street Vendors, Italian",$,Novena
70,71,81. Long Ji Zi Char,4.4 ,Seafood,$$,Tiong Bahru
71,72,82. Ippudo,4.5 ,Ramen,$,Bayfront
72,73,83. Muddy Murphy’s,4.0 ,"Pubs, Irish",$$,Tanglin
